name,company,address,country,website,additional_info,page_number
BABYDREAM NATURAL,"Dirk Rossmann GmbH
Isernhäger Straße 16
30938 Burgwedel
Germany","Designed for babies
Because baby skin is 3-5 times thinner than an adult's skin, it is particularly vulnerable. The Babydream Natural range cleanses and protects this sensitive skin from birth.

Babydream Quality
With 25 years of experience in the baby sector, Babydream offers its young and old customers reliable quality at a fair price – this is what Babydream stands for from the deepest conviction.",,www.rossmann.de,"Dirk Rossmann GmbH
Isernhäger Straße 16
30938 Burgwedel
Germanywww.rossmann.deDesigned for babies
Because baby skin is 3-5 times thinner than an adult's skin, it is particularly vulnerable. The Babydream Natural range cleanses and protects this sensitive skin from birth.

Babydream Quality
With 25 years of experience in the baby sector, Babydream offers its young and old customers reliable quality at a fair price – this is what Babydream stands for from the deepest conviction.",2
BABYDUFT,"GIGLI NATURA GmbH
6612 Ascona
Switzerland","Third party manufacturers:

Brandpur GmbH
 Freigrafenweg 2
44357 Dortmund http://brandpur.com Labiocos SA
Espace industriel 30
2854 Bassecourt www.labiocos.com",Switzerland,https://en.babyduft.com,"GIGLI NATURA GmbH
6612 Ascona
Switzerlandhttps://en.babyduft.comThird party manufacturers:

Brandpur GmbH
 Freigrafenweg 2
44357 Dortmund
Germanyhttp://brandpur.comLabiocos SA
Espace industriel 30
2854 Bassecourt
Switzerlandwww.labiocos.com",2
BALMYOU,"balmyou GbR
Hafenstr. 86
68159 Mannheim
Germany",,,https://balmyou.com/,"balmyou GbR
Hafenstr. 86
68159 Mannheim
Germanyhttps://balmyou.com/",2
BANO ARLBERGER NATURPRODUKTE,"BANO Healthcare GmbH
Annagasse 17
2500 Baden
Austria","Fresh from the mountains

The origin of BANO lies in the Arlberg Apotheke in St. Anton am Arlberg, which was founded in the 1970s by the pharmacist called Josef Bano. For 40 years, BANO Healthcare has stood for high-quality n natural products, natural remedies, medical devices and pharmaceuticals.",Austria,www.bano-healthcare.at,"BANO Healthcare GmbH
Annagasse 17
2500 Baden
Austriawww.bano-healthcare.atFresh from the mountains

The origin of BANO lies in the Arlberg Apotheke in St. Anton am Arlberg, which was founded in the 1970s by the pharmacist called Josef Bano. For 40 years, BANO Healthcare has stood for high-quality Austrian natural products, natural remedies, medical devices and pharmaceuticals.",2
BASIS BALANCE NATURKOSMETIK,"Anton Hübner GmbH & Co KG
Schloßstraße 11-17
79238 Ehrenkirchen
Germany",,,www.huebner-vital.com,"Anton Hübner GmbH & Co KG
Schloßstraße 11-17
79238 Ehrenkirchen
Germanywww.huebner-vital.com",2
BAYBIES,"baybies GmbH
Oberhachinger Str. 26
82031 Grünwald
Germany","Third party manufacturer
Pure green GmbH
Gewerbepark 17 
6426 Roppen www.puregreen.at",Austria,www.baybies.de,"baybies GmbH
Oberhachinger Str. 26
82031 Grünwald
Germanywww.baybies.deThird party manufacturer
Pure green GmbH
Gewerbepark 17 
6426 Roppen 
Austriawww.puregreen.at",2
BEAUTY BABY NATURAL,"Müller Handels GmbH & Co. KG
Albstraße 92
89081 Ulm-Jungingen
Germany","Third party manufacturer
lacely GmbH
Alte Bergheimer Str. 9
69115 Heidelberg https://lacely-group.com https://lacely-group.de",Germany,https://www.mueller.de,"Müller Handels GmbH & Co. KG
Albstraße 92
89081 Ulm-Jungingen
Germanyhttps://www.mueller.deThird party manufacturer
lacely GmbH
Alte Bergheimer Str. 9
69115 Heidelberg
Germanyhttps://lacely-group.comhttps://lacely-group.de",2
BEAUTY GARDEN,"LA FERME DE BEAUTÉ
Le Bourg
19200 Auriac
France","Inspired by veggies, aromatic spices, wild grass and passionate about beautiful landscapes, chocolate and delicious infusion. Oh! And we produce herbal teas and cosmetics in Auriac, pretty village nested in the heart of . 

3 reasons you will love our organic products : 
- We take care and harvest all the vegetables and flowers of our organic skincare. 
- Eco-designed packaging made in .
- We transform our plants into cosmetics, in the barn, by the garden, according to the Good Manufactoring Pratices.",France,www.beautygarden.com/en,"LA FERME DE BEAUTÉ
Le Bourg
19200 Auriac
Francewww.beautygarden.com/enInspired by veggies, aromatic spices, wild grass and passionate about beautiful landscapes, chocolate and delicious infusion. Oh! And we produce herbal teas and cosmetics in Auriac, pretty village nested in the heart of France. 

3 reasons you will love our organic products : 
- We take care and harvest all the vegetables and flowers of our organic skincare. 
- Eco-designed packaging made in France.
- We transform our plants into cosmetics, in the barn, by the garden, according to the Good Manufactoring Pratices.",2
BEE NATURAL,"Orbis Distribution, Inc.
1015 E Colfax Place
53217 Milwaukee, WI
United States","Orbis Distribution is a supplier of personal care products for retail distribution, particularly in the drug and mass market sectors. We provide quality and innovative brands. Our business activities include product development, product selection, sales, marketing, warehousing, logistics, and order fulfillment.

Orbis Distribution’s mission is to be a profitable and reliable counterpart to its business partners. Our understanding of international markets, including Europe (e.g. , Austria, Benelux, Poland to name a few), and Japan, coupled with our retail relationships, provide a solid foundation for fulfilling the company’s mission. We supply our products directly to retailers, and/or through our network of sales partners, to provide greater access to our products in the various countries.",Germany,www.mybeenatural.com,"Orbis Distribution, Inc.
1015 E Colfax Place
53217 Milwaukee, WI
United Stateswww.mybeenatural.comOrbis Distribution is a supplier of personal care products for retail distribution, particularly in the drug and mass market sectors. We provide quality and innovative brands. Our business activities include product development, product selection, sales, marketing, warehousing, logistics, and order fulfillment.

Orbis Distribution’s mission is to be a profitable and reliable counterpart to its business partners. Our understanding of international markets, including Europe (e.g. Germany, Austria, Benelux, Poland to name a few), and Japan, coupled with our retail relationships, provide a solid foundation for fulfilling the company’s mission. We supply our products directly to retailers, and/or through our network of sales partners, to provide greater access to our products in the various countries.",2
BEN & ANNA,"JM Nature
Adalbert-Stifter Str. 15
34246 Vellmar
Germany",https://benandanna.uk,,https://ben-anna.com,"JM Nature
Adalbert-Stifter Str. 15
34246 Vellmar
Germanyhttps://ben-anna.comhttps://benandanna.uk",2
